t_start t_max t_end class location AR SEP_Match intensity coords ang_dist
"1996-04-22 04:38:00" "1996-04-22 04:46:00" "1996-04-22 04:48:00" M3.6 S13W76 7958 False 3.6e-05 "(-13, 76)" 0.5823032361129765
"1996-07-09 01:38:00" "1996-07-09 01:44:00" "1996-07-09 02:05:00" M1.4 S10W28 7978 False 1.4e-05 "(-10, 28)" -0.3429215198112354
"1996-07-09 09:05:00" "1996-07-09 09:11:00" "1996-07-09 09:15:00" X2.6 S10W30 7978 False 0.00026000000000000003 "(-10, 30)" -0.3135284606901072
"1996-07-10 02:49:00" "1996-07-10 03:43:00" "1996-07-10 04:02:00" M1.0 S11W39 7978 False 1e-05 "(-11, 39)" -0.21837984654433068
"1996-11-29 20:16:00" "1996-11-29 20:44:00" "1996-11-29 20:55:00" M1.0 S06W47 7999 False 1e-05 "(-6, 47)" 0.1103641048970516
"1996-11-30 20:32:00" "1996-11-30 21:03:00" "1996-11-30 21:30:00" C8.6 S05W63 7999 False 8.599999999999999e-06 "(-5, 63)" 0.3256671954866457
"1997-04-01 13:25:00" "1997-04-01 13:48:00" "1997-04-01 14:10:00" M1.9 S25E16 8026 False 1.9e-05 "(-25, -16)" -1.1158803151224561
"1997-04-02 00:28:00" "1997-04-02 00:40:00" "1997-04-02 00:43:00" C2.2 S27E09 8026 False 2.2e-06 "(-27, -9)" -1.019583732398409
"1997-04-02 05:24:00" "1997-04-02 05:32:00" "1997-04-02 05:37:00" C1.3 S25E05 8026 False 1.3e-06 "(-25, -5)" -0.9489171925464077
"1997-04-07 13:50:00" "1997-04-07 14:07:00" "1997-04-07 14:19:00" C6.8 S30E19 8027 False 6.799999999999999e-06 "(-30, -19)" -1.1813884466272286
"1997-04-15 14:00:00" "1997-04-15 14:20:00" "1997-04-15 14:26:00" C1.0 S22E12 8032 False 1e-06 "(-22, -12)" -1.0414367883105977
"1997-05-12 04:42:00" "1997-05-12 04:55:00" "1997-05-12 05:26:00" C1.3 N21W09 8038 False 1.3e-06 "(21, 9)" -0.7147112858313971
"1997-05-21 20:03:00" "1997-05-21 20:15:00" "1997-05-21 20:27:00" M1.3 N05W12 8040 False 1.3000000000000001e-05 "(5, 12)" -0.5817920531782375
"1997-07-25 20:07:00" "1997-07-25 20:35:00" "1997-07-25 21:08:00" C4.4 N16W54 8065 False 4.4e-06 "(16, 54)" 0.31939045651869513
"1997-09-02 12:25:00" "1997-09-02 12:30:00" "1997-09-02 12:34:00" M1.0 N28W37 8076 False 1e-05 "(28, 37)" -0.5066915405090044
"1997-09-02 21:06:00" "1997-09-02 21:13:00" "1997-09-02 21:19:00" C4.1 N24W36 8076 False 4.1e-06 "(24, 36)" -0.4457252820344175
"1997-09-08 19:23:00" "1997-09-08 19:27:00" "1997-09-08 19:48:00" M1.0 S28W07 8083 False 1e-05 "(-28, 7)" -0.8013017845497125
"1997-09-12 02:07:00" "1997-09-12 02:11:00" "1997-09-12 02:13:00" C1.1 N22W17 8084 False 1.1e-06 "(22, 17)" -0.6117316185241543
"1997-09-12 18:55:00" "1997-09-12 19:00:00" "1997-09-12 19:04:00" C1.1 N23W19 8084 False 1.1e-06 "(23, 19)" -0.596433197807414
"1997-09-12 20:04:00" "1997-09-12 20:09:00" "1997-09-12 20:11:00" C1.0 N22W20 8084 False 1e-06 "(22, 20)" -0.5729341519971604
